agent\.ip,rule\.id,data\.win\.eventdata\.image,data\.win\.eventdata\.processId,data\.win\.eventdata\.logonGuid,data\.win\.eventdata\.commandLine
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,92213,C:\\Windows\\system32\\cleanmgr.exe,5608, , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,60610, , , , 
10.0.2.15,92217,C:\\Windows\\system32\\wuauclt.exe,2608, , 
10.0.2.15,92217,C:\\Windows\\system32\\wuauclt.exe,2608, , 
10.0.2.15,60612, , , , 
10.0.2.15,61138, , , , 
10.0.2.15,92307,C:\\Windows\\system32\\services.exe,588, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,60106, ,0x24c,{00000000-0000-0000-0000-000000000000}, 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92213,C:\\Users\\admin\\Downloads\\shell.exe,3080, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92217,C:\\Windows\\System32\\svchost.exe,4076, , 
10.0.2.15,92200,C:\\Users\\admin\\AppData\\Local\\Microsoft\\OneDrive\\Update\\OneDriveSetup.exe,3304, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92201,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,5536, , 
10.0.2.15,92201,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,5536, , 
10.0.2.15,92201,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,5572, , 
10.0.2.15,92021,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,768,{5c87e6ab-7379-67cd-e703-000000000000},"powershell.exe -ExecutionPolicy Restricted -Command  $Res = 0; $Infs = Get-Item -Path ($env:WinDir + '\\inf\\*.inf'); foreach ($Inf in $Infs) { $Data = Get-Content $Inf.FullName; if ($Data -match '\\[defaultinstall.nt(amd64|arm|arm64|x86)\\]') { $Res = 1; break; } } Write-Host 'Final result:', $Res;"
10.0.2.15,92201,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,768, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92219,C:\\Windows\\system32\\svchost.exe,996, , 
10.0.2.15,92052,C:\\Windows\\System32\\cmd.exe,3608,{5c87e6ab-7381-67cd-3473-030000000000},C:\\Windows\\system32\\cmd.exe
10.0.2.15,92039,C:\\Windows\\System32\\net.exe,768,{5c87e6ab-7381-67cd-3473-030000000000},net  user group
10.0.2.15,92039,C:\\Windows\\System32\\net1.exe,924,{5c87e6ab-7381-67cd-3473-030000000000},C:\\Windows\\system32\\net1  user group
